name,name_with_address,site,subtypes,phone,full_address,borough,street,city,postal_code,state,country,country_code,latitude,longitude,time_zone,rating,reviews,street_view,working_hours,about,logo,verified,booking_appointment_link,location_link,place_id
NextDoor Plumbing LLC,"NextDoor Plumbing LLC7135 E Camelback Rd #230, Scottsdale, AZ 85251",http://www.nextdoorplumbingaz.com/,Plumber,+1 480-935-6900,"7135 E Camelback Rd #230, Scottsdale, AZ 85251",Downtown Scottsdale,7135 E Camelback Rd #230,Scottsdale,85251,Arizona,United States of America,US,33.5017144,-111.9277817,America/Phoenix,5,15,https://lh3.googleusercontent.com/p/AF1QipP8lcRW3kcPYKl-Xh4nbEp-NLFk7Nv6pkXuT3O2=w1600-h1000-k-no,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}","{""Service options"": {""Online estimates"": false}, ""Offerings"": {""Repair services"": true}, ""Payments"": {""Credit cards"": true}}",https://lh4.googleusercontent.com/-bvceaGC0CI4/AAAAAAAAAAI/AAAAAAAAAAA/FwOBvh3hF0Q/s44-p-k-no-ns-nd/photo.jpg,TRUE,,"https://www.google.com/maps/place/NextDoor+Plumbing+LLC/@33.5017144,-111.9277817,14z/data=!4m8!1m2!2m1!1sNextDoor+Plumbing+LLC!3m4!1s0xa7964cb30320f107:0xd7cf844cbc0ac91a!8m2!3d33.5017144!4d-111.9277817",ChIJB_EgA7NMlqcRGskKvEyEz9c
Flush King Plumbing,"Flush King Plumbing6619 N Scottsdale Rd, Scottsdale, AZ 85250",https://flushking.com/,Plumber,+1 602-644-1950,"6619 N Scottsdale Rd, Scottsdale, AZ 85250",El Dorado Square Easements,6619 N Scottsdale Rd,Scottsdale,85250,Arizona,United States of America,US,33.5329607,-111.9238837,America/Phoenix,4.8,460,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwifJmq3teco-ZwD1Kou8i3bzeJBBYHpV1T5801bAdkS_VgzvcSBkn4mlOAvL5kii0iFUiz2HTS_CKUBGKRzOvFNzbTRsP4A61xvx7JOzxgJ-Z5Ebw-Ll0jbMIEgZkHkMI-oohe=w1600-h1000-k-no,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}","{""Service options"": {""Online estimates"": true}, ""Offerings"": {""Repair services"": true}, ""Payments"": {""Credit cards"": true}}",https://lh5.googleusercontent.com/-FaWlTEqpPkA/AAAAAAAAAAI/AAAAAAAAAAA/4mRP3CVCMV8/s44-p-k-no-ns-nd/photo.jpg,TRUE,,"https://www.google.com/maps/place/Flush+King+Plumbing/@33.5329607,-111.92388369999999,14z/data=!4m8!1m2!2m1!1sFlush+King+Plumbing!3m4!1s0x872b13ce5999a6df:0x6a5ee82a177e026e!8m2!3d33.5329607!4d-111.92388369999999",ChIJ36aZWc4TK4cRbgJ-FyroXmo
Plumb Geeks,Plumb Geeks,https://plumbgeeks.com/,"Plumber, Service establishment",+1 480-826-6112,,,,,,,,,33.1434677,-111.7180504,America/Phoenix,5,41,https://lh3.googleusercontent.com/p/AF1QipNMQQ3bvU1JEtMm66-bcJ69WKsBNhg8iNfdQK0n=w1600-h1000-k-no,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}","{""Offerings"": {""Repair services"": true}, ""Payments"": {""Credit cards"": true}}",https://lh4.googleusercontent.com/-X1LD764cgL0/AAAAAAAAAAI/AAAAAAAAAAA/T_rL5cnGH6Q/s44-p-k-no-ns-nd/photo.jpg,TRUE,,"https://www.google.com/maps/place/Plumb+Geeks/@33.143467699999995,-111.7180504,14z/data=!4m8!1m2!2m1!1sPlumb+Geeks!3m4!1s0x2e415b142d143f55:0x4d9735b7735c713a!8m2!3d33.143467699999995!4d-111.7180504",ChIJVT8ULRRbQS4ROnFcc7c1l00
Cactus Plumbing And Air,"Cactus Plumbing And Air6730 E McDowell Rd #129, Scottsdale, AZ 85257",https://cactusplumbingandair.com/scottsdale-plumber-and-ac-repair/%3Futm_source%3Dgmb%26utm_medium%3Dscottsdale,"Plumber, Air conditioning contractor",+1 480-418-9912,"6730 E McDowell Rd #129, Scottsdale, AZ 85257",South Scottsdale,6730 E McDowell Rd #129,Scottsdale,85257,Arizona,United States of America,US,33.4661247,-111.9355746,America/Phoenix,4.9,268,https://lh3.googleusercontent.com/p/AF1QipOqpHbV6v6hq5apzP60ZjSnRDkFOfa3ZuZwj0iC=w1600-h1000-k-no,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}","{""Service options"": {""Onsite services"": true}, ""Offerings"": {""Repair services"": true}, ""Payments"": {""Credit cards"": true}}",https://lh6.googleusercontent.com/-YXWuqVqT8sY/AAAAAAAAAAI/AAAAAAAAAAA/jt761uezCR4/s44-p-k-no-ns-nd/photo.jpg,TRUE,,"https://www.google.com/maps/place/Cactus+Plumbing+And+Air/@33.4661247,-111.9355746,14z/data=!4m8!1m2!2m1!1sCactus+Plumbing+And+Air!3m4!1s0x872b09ab7093b6eb:0xb43827d0f4643676!8m2!3d33.4661247!4d-111.9355746",ChIJ67aTcKsJK4cRdjZk9NAnOLQ
Freddys Fox Rooter,"Freddys Fox Rooter1920 E Indian School Rd unit 5004, Phoenix, AZ 85016",https://freddysfoxrooter.com/,"Plumber, Drainage service",+1 602-910-8250,"1920 E Indian School Rd unit 5004, Phoenix, AZ 85016",Camelback East Village,1920 E Indian School Rd unit 5004,Phoenix,85016,Arizona,United States of America,US,33.4959024,-112.0406507,America/Phoenix,4.7,46,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSywY2nk4TSPo_FK8zHCY6GkGN8aIENvqbIy7frVxd3RzAK7udC6gSvJgCWdmeozZlyKZos6BKHxErh3oUYu77gNVRehEnlzy7irD_tHXqOtU1DkKW4gPtIt1ZCWkHqReBCp1o1P=w1600-h1000-k-no,"{""Sunday"": ""Closed"", ""Monday"": ""9AM-7PM"", ""Tuesday"": ""9AM-7PM"", ""Wednesday"": ""9AM-7PM"", ""Thursday"": ""9AM-7PM"", ""Friday"": ""9AM-7PM"", ""Saturday"": ""Closed""}","{""Offerings"": {""Repair services"": true}, ""Payments"": {""Credit cards"": true}}",https://lh4.googleusercontent.com/-MdmRiGKemj0/AAAAAAAAAAI/AAAAAAAAAAA/eZagVUxj_o0/s44-p-k-no-ns-nd/photo.jpg,TRUE,,"https://www.google.com/maps/place/Freddys+Fox+Rooter/@33.4959024,-112.0406507,14z/data=!4m8!1m2!2m1!1sFreddys+Fox+Rooter!3m4!1s0x872b1288eb36f0d7:0x61d92fd624a2ee4b!8m2!3d33.4959024!4d-112.0406507",ChIJ1_A264gSK4cRS-6iJNYv2WE
Platinum Services Plumbing,"Platinum Services Plumbing8455 E San Miguel Ave, Scottsdale, AZ 85250",https://m.facebook.com/platinumservicesacr/%3Fref%3Dbookmarks,Plumber,+1 480-246-9330,"8455 E San Miguel Ave, Scottsdale, AZ 85250",Park Scottsdale Three,8455 E San Miguel Ave,Scottsdale,85250,Arizona,United States of America,US,33.519079,-111.89801,America/Phoenix,5,93,https://lh3.googleusercontent.com/p/AF1QipNctSdOIQgimSwha2vF-Z9k_D0FuA17nq3TCvad=w1600-h1000-k-no,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}","{""Offerings"": {""Repair services"": true}, ""Payments"": {""Credit cards"": true}}",https://lh4.googleusercontent.com/-yRvfh8wf5NE/AAAAAAAAAAI/AAAAAAAAAAA/CRLxIqLImW8/s44-p-k-no-ns-nd/photo.jpg,TRUE,,"https://www.google.com/maps/place/Platinum+Services+Plumbing/@33.519079,-111.89801,14z/data=!4m8!1m2!2m1!1sPlatinum+Services+Plumbing!3m4!1s0x872b0ba38762567f:0xd1ff8cefa892b0c8!8m2!3d33.519079!4d-111.89801",ChIJf1Zih6MLK4cRyLCSqO-M_9E
Neighborhood Plumber & Drain Service,"Neighborhood Plumber & Drain Service1324 N 85th PL, Scottsdale, AZ 85257",https://azneighborhoodplumber.com/scottsdale-affordable-plumber-experts,"Plumber, Drainage service, Hot water system supplier, Water softening equipment supplier",+1 602-755-9098,"1324 N 85th PL, Scottsdale, AZ 85257",Arts Districts,1324 N 85th PL,Scottsdale,85257,Arizona,United States of America,US,33.4886806,-111.9274446,America/Phoenix,5,211,https://lh3.googleusercontent.com/p/AF1QipPwFI1tQpU8hiDRkc9j63Yd-cuE9piy6WKSOP4q=w1600-h1000-k-no,"{""Sunday"": ""Closed"", ""Monday"": ""6AM-6PM"", ""Tuesday"": ""6AM-6PM"", ""Wednesday"": ""6AM-6PM"", ""Thursday"": ""6AM-6PM"", ""Friday"": ""6AM-6PM"", ""Saturday"": ""6AM-6PM""}","{""From the business"": {""Identifies as Asian-owned"": true, ""Identifies as Latino-owned"": true}, ""Service options"": {""Online estimates"": true}, ""Offerings"": {""Repair services"": true}, ""Payments"": {""Credit cards"": true, ""NFC mobile payments"": true}, ""Other"": {""Identifies as Latino-owned"": true, ""Identifies as Asian-owned"": true}}",https://lh3.googleusercontent.com/-FSAVJHdauk4/AAAAAAAAAAI/AAAAAAAAAAA/Z_Z4byec3eg/s44-p-k-no-ns-nd/photo.jpg,TRUE,,"https://www.google.com/maps/place/Neighborhood+Plumber+%26+Drain+Service/@33.488680599999995,-111.9274446,14z/data=!4m8!1m2!2m1!1sNeighborhood+Plumber+%26+Drain+Service!3m4!1s0x872b094706a3fbe7:0xbd684df362fef8eb!8m2!3d33.488680599999995!4d-111.9274446",ChIJ5_ujBkcJK4cR6_j-YvNNaL0
Gold Star Plumbing & Drain,"Gold Star Plumbing & Drain3010 S Potter Dr, Tempe, AZ 85282",https://goldstarplumbingaz.com/%3Futm_source%3Dgoogle%26utm_medium%3Dgbp%26utm_campaign%3Dtempe,"Plumber, Drainage service",+1 480-372-9583,"3010 S Potter Dr, Tempe, AZ 85282",None,3010 S Potter Dr,Tempe,85282,Arizona,United States of America,US,33.3960667,-111.972674,America/Phoenix,5,171,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwptKe7LRQjw27Jl1Uo66JeDSlLKI6MA2VVw0iuZ8iUo9ReGs2L5Vn_ZG9TyXt6RLB2RSBcNAJzBQc9SYjaOTFoexeombua0gWcGCzdEqE_NQZX6Py_fEV2PNoCQ6oz3dklvTqO_M8KnfXF=w1600-h1000-k-no,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}","{""Service options"": {""Onsite services"": true}, ""Offerings"": {""Repair services"": true}, ""Payments"": {""Credit cards"": true}}",https://lh5.googleusercontent.com/-QP-e0f_YI80/AAAAAAAAAAI/AAAAAAAAAAA/B9kYrP2KXZY/s44-p-k-no-ns-nd/photo.jpg,TRUE,https://goldstarplumbingaz.com/contact/,"https://www.google.com/maps/place/Gold+Star+Plumbing+%26+Drain/@33.3960667,-111.972674,14z/data=!4m8!1m2!2m1!1sGold+Star+Plumbing+%26+Drain!3m4!1s0x872b0f305f6dca91:0x9c6ef2f4160bdb6c!8m2!3d33.3960667!4d-111.972674",ChIJkcptXzAPK4cRbNsLFvTybpw
Zoom Drain Tempe,"Zoom Drain Tempe1705 W University Dr, Tempe, AZ 85281",http://zoomdrain.com/phoenix,"Plumber, Contractor, Drainage service, Septic system service",+1 602-613-1114,"1705 W University Dr, Tempe, AZ 85281",None,1705 W University Dr,Tempe,85281,Arizona,United States of America,US,33.4213962,-111.9667345,America/Phoenix,5,144,https://lh3.googleusercontent.com/p/AF1QipMyzyBIZsMf_V2YkgDqLwV5BRBkoDNlqAX8cDnE=w1600-h1000-k-no,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}","{""From the business"": {""Identifies as Black-owned"": true, ""Identifies as women-owned"": true}, ""Service options"": {""Online estimates"": true, ""Onsite services"": true, ""Language assistance"": ""English""}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Other"": {""Identifies as Black-owned"": true, ""Identifies as women-owned"": true}}",https://lh5.googleusercontent.com/-KfkAL57-Ibg/AAAAAAAAAAI/AAAAAAAAAAA/ABkDtx_0YLk/s44-p-k-no-ns-nd/photo.jpg,TRUE,,"https://www.google.com/maps/place/Zoom+Drain+Tempe/@33.4213962,-111.9667345,14z/data=!4m8!1m2!2m1!1sZoom+Drain+Tempe!3m4!1s0x872b0fa375a9c385:0x1d004ea615836229!8m2!3d33.4213962!4d-111.9667345",ChIJhcOpdaMPK4cRKWKDFaZOAB0
DRAIN SURGEON,"DRAIN SURGEON14201 Hayden Rd, Scottsdale, AZ 85260",https://drainsurgeonsaz.com/,Plumber,+1 480-800-4844,"14201 Hayden Rd, Scottsdale, AZ 85260",Hayden Business Center,14201 Hayden Rd,Scottsdale,85260,Arizona,United States of America,US,33.6151711,-111.9064638,America/Phoenix,5,25,https://lh3.googleusercontent.com/p/AF1QipP571wfz2IjihWiMi_tHGsjYOWRGkZE1wVo58rR=w1600-h1000-k-no,"{""Sunday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours""}","{""Offerings"": {""Repair services"": true}}",https://lh3.googleusercontent.com/-NHpFBI_a8QM/AAAAAAAAAAI/AAAAAAAAAAA/Jho4JTNUq68/s44-p-k-no-ns-nd/photo.jpg,TRUE,,"https://www.google.com/maps/place/DRAIN+SURGEON/@33.6151711,-111.9064638,14z/data=!4m8!1m2!2m1!1sDRAIN+SURGEON!3m4!1s0x872b75b2e183faa5:0x97d5a61946e5adbd!8m2!3d33.6151711!4d-111.9064638",ChIJpfqD4bJ1K4cRva3lRhmm1Zc
